"关键词","近一天整体指数","近一天PC指数","近一天移动指数","7天均指数","7天PC均指数","7天移动均指数","30天均指数","30天PC均指数","30天移动均指数","7天整体同比","7天整体环比","7天PC同比","7天PC环比","7天移动同比","7天移动环比","30天整体同比","30天整体环比","30天PC同比","30天PC环比","30天移动同比","30天移动环比"
"导火新闻线","4251","1795","2456","3983","2449","1534","1168","676","492","750%↑","1098%↑","747%↑","1644%↑","753%↑","699%↑","216%↑","139%↑","214%↑","184%↑","220%↑","97%↑"
"魔发精灵","1741","718","1023","1522","572","950","1824","655","1169","-","-9%↓","-","-12%↓","-","-6%↓","-","-60%↓","-","-32%↓","-","-67%↓"
"杠上开花","698","131","567","662","124","538","634","137","497","-","24%↑","-","0","-","31%↑","-","-85%↓","-","-41%↓","-","-88%↓"
"异性合租的往事","456","85","371","471","81","390","459","97","362","388%↑","6%↑","32%↑","-7%↓","1006%↑","9%↑","253%↑","-95%↓","23%↑","-98%↓","606%↑","-53%↓"
"龙珠Z：复活的弗利萨","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"复活的弗利萨","1008","406","602","1124","451","673","709","299","410","-","15%↑","-","12%↑","-","18%↑","-","-27%↓","-","-27%↓","-","-27%↓"
"龙珠Z","6118","2060","4058","4977","1693","3284","4812","1650","3162","17%↑","7%↑","-6%↓","6%↑","35%↑","7%↑","9%↑","-10%↓","-13%↓","-16%↓","28%↑","-6%↓"
"爱的钟声","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"铠甲勇士捕王","4709","554","4155","3078","376","2702","3367","394","2973","-","-","-","0","-","-","-","-25%↓","-","-27%↓","-","-25%↓"
"鲁滨逊漂流记","6202","1494","4708","4328","1143","3185","4226","1181","3045","39%↑","-9%↓","2%↑","-17%↓","60%↑","-6%↓","35%↑","-10%↓","4%↑","-4%↓","53%↑","-12%↓"
"爱情不等式","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宾虚","1896","912","984","1865","910","955","2160","1129","1031","338%↑","-18%↓","297%↑","-15%↓","385%↑","-20%↓","385%↑","24%↑","357%↑","48%↑","419%↑","6%↑"
"圆梦巨人","20843","5045","15798","7491","2133","5358","4365","1603","2762","-","184%↑","-","92%↑","-","251%↑","-","-51%↓","-","-49%↓","-","-52%↓"
"勇士","14582","4572","10010","10866","3830","7036","12682","4747","7935","-55%↓","-27%↓","-61%↓","-31%↓","-52%↓","-24%↓","-40%↓","2%↑","-50%↓","-2%↓","-33%↓","6%↑"
"驴得水","99225","32776","66449","69436","26070","43366","31187","13456","17731","38293%↑","381%↑","31149%↑","258%↑","44410%↑","507%↑","16613%↑","-52%↓","15607%↑","-26%↓","17467%↑","-62%↓"
"机械师2","13130","5082","8048","13429","5078","8351","21108","8051","13057","469%↑","-50%↓","240%↑","-48%↓","863%↑","-51%↓","772%↑","-39%↓","414%↑","-39%↓","1425%↑","-39%↓"
"侠探杰克","1141","563","578","1030","497","533","1234","633","601","100%↑","-6%↓","91%↑","-13%↓","110%↑","0","-10%↓","-79%↓","23%↑","-69%↓","-30%↓","-85%↓"
"凶手还未睡","1329","488","841","1211","467","744","1251","519","732","-","19%↑","-","6%↑","-","30%↑","-","-78%↓","-","-87%↓","-","-55%↓"
"但丁密码","4839","2427","2412","4528","2347","2181","6158","3445","2713","-","-30%↓","-","-31%↓","-","-28%↓","-","-75%↓","-","-54%↓","-","-84%↓"
"枕边有张脸","577","172","405","477","173","304","574","198","376","-23%↓","-2%↓","-16%↓","0","-27%↓","-3%↓","2%↑","-29%↓","-6%↓","-12%↓","6%↑","-36%↓"
"捉迷藏","13401","2489","10912","14326","2930","11396","13637","3125","10512","840%↑","-52%↓","333%↑","-56%↓","1247%↑","-52%↓","881%↑","-18%↓","407%↑","0","1260%↑","-22%↓"
"非常父子档","2676","786","1890","2760","847","1913","1880","610","1270","-","-14%↓","-","-15%↓","-","-13%↓","-","15%↑","-","26%↑","-","10%↑"
"爵迹","20515","5344","15171","16140","4652","11488","22371","6660","15711","355%↑","-5%↓","384%↑","-6%↓","344%↑","-5%↓","468%↑","-31%↓","562%↑","-28%↓","436%↑","-32%↓"
"我不是潘金莲","28590","10508","18082","27017","10512","16505","84515","25414","59101","8737%↑","-28%↓","9052%↑","-25%↓","8547%↑","-30%↓","23006%↑","196%↑","19231%↑","197%↑","25124%↑","195%↑"
"从你的全世界路过","65081","16380","48701","68760","18543","50217","56649","16680","39969","2073%↑","-37%↓","2127%↑","-36%↓","2054%↑","-38%↓","1599%↑","18%↑","1893%↑","5%↑","1500%↑","25%↑"
"湄公河行动","228331","65981","162350","92117","32224","59893","50309","22235","28074","51568%↑","184%↑","34233%↑","96%↑","70839%↑","275%↑","21178%↑","-37%↓","17688%↑","-34%↓","25093%↑","-40%↓"
"东北往事之破马张飞","6099","976","5123","5774","1334","4440","1596","416","1180","-","1269%↑","-","660%↑","-","1703%↑","-","704%↑","-","387%↑","-","943%↑"
"食人岛","1002","198","804","874","215","659","1029","310","719","679%↑","-35%↓","366%↑","-48%↓","897%↑","-30%↓","693%↑","406%↑","415%↑","218%↑","931%↑","579%↑"
"看见我和你","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"234说爱你","591","207","384","513","177","336","582","191","391","17%↑","-2%↓","-31%↓","10%↑","88%↑","-8%↓","7%↑","-6%↓","-36%↓","-13%↓","62%↑","-3%↓"
"囧游凤凰谷","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"地球四季","463","186","277","389","154","235","435","200","235","-","5%↑","-","-12%↓","-","22%↑","-","-52%↓","-","-50%↓","-","-53%↓"
